"Data Source","World Development Indicators",

"Last Updated Date","2024-10-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Barbados","BRB","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","0.0177","0.0177","0.0143","0.0158","0.0184","0.0242","0.0259","0.0267","0.0279","0.0242","0.0347","0.0376","0.04","0.0448","0.0471","0.0528","0.0595","0.0608","0.0574","0.0685","0.1291","0.1353","0.1443","0.1422","0.1362","0.1386","0.1337","0.1586","0.1702","0.1822","0.1302","0.13","0.1333","0.1375","0.1349","0.1427","0.1615","0.1614","0.206","0.2159","0.2338","0.1725","0.1713","0.2067","0.1909","0.1942","0.2047","0.1804","0.2175","0.2383","0.201","0.1947","0.203","",
"Brunei Darussalam","BRN","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","0.0807","0.0807","0.0621","0.0838","0.0993","0.0993","0.1397","0.1677","0.1677","0.2018","0.3332","0.3134","0.3637","0.4108","0.4097","0.4503","0.4593","0.4873","0.5189","0.5315","0.5534","0.5972","0.6543","0.6824","0.723","0.7767","0.8368","0.8749","0.8211","0.8113","0.8083","0.8434","0.8812","0.9227","0.9737","0.9518","1.0314","1.1264","1.1321","1.1219","1.1756","1.2836","1.3426","1.3261","1.351","1.357","1.3374","1.3307","1.3535","1.3223","1.2032","1.2555","1.2764","",
"Bhutan","BTN","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","0.0007","0.0007","0.0008","0.0007","0.0007","0.0008","0.0007","0.0008","0.0009","0.0009","0.001","0.0099","0.0101","0.01","0.0098","0.0107","0.0089","0.012","0.012","0.0112","0.0236","0.024","0.0254","0.0257","0.0311","0.0408","0.0447","0.0432","0.0466","0.0423","0.0672","0.0698","0.067","0.0705","0.0684","0.0818","0.0876","0.0885","0.0998","0.1188","0.1749","0.2109","0.2368","0.2343","0.2062","0.2441","0.2493","0.2976","0.331","0.3468","0.2693","0.2791","0.288","",
"Botswana","BWA","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","0.0634","0.0634","0.0761","0.0889","0.1046","0.114","0.1297","0.1454","0.1676","0.1897","0.2274","0.2493","0.2713","0.2995","0.3182","0.3304","0.3839","0.4211","0.4556","0.5312","0.6479","0.7073","0.8108","0.7968","0.768","0.8881","0.8973","0.9668","1.0356","1.127","1.2188","1.3081","1.2456","1.3371","1.4642","1.4958","1.6215","1.7221","1.984","1.839","1.9376","2.0231","2.0557","2.1428","2.2218","2.3026","2.2557","2.2936","2.4478","2.3527","2.1267","2.1269","2.3205","",
"Central African Republic","CAF","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","0.009","0.009","0.0097","0.0106","0.0108","0.0133","0.0169","0.0218","0.0234","0.026","0.0276","0.0382","0.0379","0.0431","0.0409","0.038","0.052","0.0484","0.0611","0.0596","0.0714","0.0962","0.0789","0.0866","0.091","0.0946","0.1026","0.1025","0.104","0.1096","0.1221","0.1246","0.128","0.1213","0.1224","0.1228","0.1322","0.1372","0.1055","0.1015","0.1011","0.1038","0.106","0.0702","0.0743","0.1105","0.119","0.1197","0.1245","0.1345","0.1362","0.1428","0.1341","",
"Canada","CAN","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","80.7889","83.8849","89.8124","97.9055","102.321","104.2974","109.139","110.7068","116.3525","127.0725","129.2287","128.3093","111.1972","108.615","111.9579","114.051","114.0188","118.6705","126.2353","128.3053","124.6651","120.9509","125.205","127.1818","133.421","137.0932","140.4361","144.8506","147.4656","151.1608","149.9657","147.7901","159.6457","162.2764","166.3891","170.6189","169.4056","175.7563","174.0106","169.4821","174.6826","175.0625","176.7806","181.6867","180.0707","179.8249","180.215","185.3254","192.1301","183.3946","158.4777","167.006","179.1775","",
"Central Europe and the Baltics","CEB","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","67.4201","66.9879","68.2363","70.3873","69.9217","73.9675","74.5617","75.4349","76.8446","75.2348","71.4912","67.6526","65.2445","64.5924","64.3216","63.2717","65.8687","67.8232","70.4751","76.7178","74.9906","68.2133","67.1978","64.135","65.7341","66.4365","75.9905","80.4154","83.2457","85.3973","81.2955","87.2405","89.4762","95.4609","102.6214","108.7194","115.4244","124.1901","129.0214","124.8777","124.8786","124.7541","122.9364","117.8256","121.4561","127.7595","138.0785","151.0821","154.5535","157.3692","146.7775","155.4604","162.4525","",
"Switzerland","CHE","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","8.2908","9.193","9.5286","9.912","9.4953","9.0069","9.0034","9.564","9.7077","9.7212","10.3352","10.6186","10.8672","11.3441","11.6016","11.709","12.3655","12.601","13.2983","13.6236","14.5063","14.9481","15.2922","14.2689","14.6168","14.3714","14.3855","14.8504","14.9899","14.9726","16.5496","16.2419","16.2688","16.3887","16.4895","16.5724","16.6963","17.0355","17.4493","17.2407","17.1761","16.9752","17.1306","17.0824","16.9196","16.2024","16.0428","15.7479","15.8146","15.7621","14.4426","14.4502","14.8993","",
"Channel Islands","CHI","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","6.0281","6.0281","5.8371","5.495","5.2196","4.5314","4.6152","4.8539","5.3749","5.8048","6.2461","6.6219","6.2565","6.2742","6.2558","6.1813","6.3509","6.7847","7.7374","8.2939","9.0841","9.4833","10.2897","11.4089","12.3338","13.6444","14.8388","15.7303","16.5557","16.7441","16.9872","16.0675","16.5753","16.332","16.919","18.5607","18.2863","19.8109","20.5827","20.7096","21.4369","21.8593","22.4344","24.4921","23.5736","25.2257","26.384","27.3837","28.328","28.735","25.466","28.1314","29.9701","",
"China","CHN","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","45.4583","45.4583","50.12","54.4138","58.8471","65.9087","66.906","74.1173","71.9892","74.8971","70.859","70.6364","74.0071","78.5994","83.8886","86.3287","94.056","98.7102","104.7209","108.5201","94.1525","100.6214","111.1024","125.7016","116.3504","127.3714","169.853","146.1269","140.2851","157.3617","248.4803","254.2503","276.4443","313.1443","371.1368","397.312","434.812","468.5767","507.0676","517.0746","568.7798","621.89","686.1263","741.0944","770.35","828.4621","845.3566","877.8151","947.6599","939.6207","896.1329","927.1562","873.2073","",
"Cote d'Ivoire","CIV","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","0.8787","0.8787","0.9578","0.9122","0.9546","1.0136","1.217","1.3024","1.4122","1.494","1.557","1.5065","1.4085","1.2728","1.1849","1.188","1.1496","1.0901","1.1032","1.2353","1.1917","1.1804","1.1357","1.101","1.0943","1.2285","1.2528","1.3775","1.2111","1.4227","1.2909","1.259","1.4126","1.0374","1.1441","1.2253","1.2819","1.2905","1.5618","1.5512","1.4843","1.5836","2.3561","2.5584","2.7017","3.165","3.8397","3.574","3.9669","4.2357","4.162","4.5147","4.7873","",
"Cameroon","CMR","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","0.5647","0.5647","0.6162","0.6408","0.6226","0.7491","0.7009","1.0092","1.0312","1.1089","1.1785","1.1932","1.3078","1.5084","1.5836","1.7402","1.65","1.6662","1.8648","1.8326","1.7549","1.5686","1.57","1.6883","1.7613","1.7086","1.7303","1.8217","1.8761","1.6374","1.8566","1.8592","2.0652","2.099","2.1652","2.1074","1.8697","2.1284","2.1846","2.5141","2.6752","2.8318","3.0142","3.1969","3.4145","3.1654","3.2607","3.186","3.3178","3.4205","3.4241","3.5845","3.3492","",
"Congo, Dem. Rep.","COD","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","0.416","0.416","0.4409","0.4936","0.5371","0.565","0.5278","0.4626","0.5216","0.6116","0.5992","0.5899","0.4967","0.5899","0.5961","0.5433","0.5464","0.565","0.5744","0.5744","0.5672","0.4802","0.4396","0.4426","0.4515","0.4513","0.4544","0.448","0.4544","0.4389","0.7903","0.6478","0.6927","0.8222","0.8947","1.1101","1.1956","1.3347","1.5169","1.5163","1.6546","2.1268","2.1121","3.3139","4.5124","2.6669","1.8971","2.1428","2.0707","2.1883","2.3209","2.4596","2.4438","",
"Congo, Rep.","COG","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","0.3468","0.3468","0.382","0.3595","0.3817","0.3943","0.5156","0.3842","0.4707","0.4547","0.5124","0.5442","0.6558","0.6646","0.5877","0.6039","0.5622","0.5786","0.5429","0.5175","0.5141","0.5425","0.4723","0.4723","0.2907","0.418","0.3168","0.2475","0.3176","0.3074","0.4254","0.5502","0.4253","0.5977","0.7058","0.7209","0.8796","0.9589","1.1764","1.2817","1.4828","1.6456","1.603","1.9123","2.0166","1.7018","1.4484","1.3182","1.2569","1.2519","1.1479","1.2078","1.1513","",
"Colombia","COL","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","6.7591","6.7591","7.1318","7.6894","8.6005","9.3034","9.9214","10.3179","11.0206","11.5013","11.7808","11.9425","12.4871","13.0919","13.4981","13.9541","14.2176","14.6488","15.8694","16.2108","16.35","17.0882","18.0051","18.2723","17.036","20.3298","20.8575","21.8735","21.4051","19.0812","18.5607","19.4611","17.2645","17.7307","20.2411","19.846","20.8053","21.2253","21.4535","19.8688","20.2674","24.4775","25.8613","24.4458","25.4435","27.5716","28.7986","28.7941","29.3431","31.2943","26.9513","34.1884","38.0349","",
"Comoros","COM","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","0.0027","0.0027","0.0029","0.0032","0.0032","0.004","0.0051","0.0065","0.007","0.0078","0.0083","0.0088","0.0081","0.0086","0.0088","0.0081","0.005","0.011","0.0139","0.0136","0.018","0.0221","0.0192","0.0188","0.0187","0.0195","0.0201","0.0201","0.0254","0.0268","0.0438","0.0452","0.0469","0.0614","0.0688","0.0678","0.0821","0.0561","0.0582","0.0718","0.0825","0.07","0.0726","0.088","0.0755","0.0843","0.0985","0.1226","0.1339","0.1524","0.1545","0.1684","0.1729","",
"Cabo Verde","CPV","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","0.0189","0.0189","0.0203","0.0223","0.0227","0.0279","0.0355","0.0457","0.0491","0.0545","0.0579","0.0617","0.0244","0.0259","0.0321","0.0298","0.0103","0.0111","0.019","0.0224","0.0249","0.0316","0.0322","0.0315","0.0371","0.0375","0.0447","0.0447","0.0453","0.0478","0.1377","0.1528","0.1707","0.1722","0.1927","0.3063","0.338","0.3975","0.4015","0.3873","0.4003","0.4377","0.3772","0.3717","0.3818","0.3929","0.4113","0.42","0.4228","0.4462","0.4522","0.4896","0.5141","",
"Costa Rica","CRI","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","0.6765","0.6765","0.7683","0.8404","0.9115","0.9911","1.0833","1.1788","1.3122","1.3421","1.334","1.1785","1.0506","1.0887","1.1644","1.1963","1.3106","1.3847","1.563","1.6772","1.5874","1.6489","2.3919","2.4693","2.5942","2.5887","2.6097","2.6729","2.959","3.0745","2.9733","3.17","3.5067","3.5889","3.8548","3.774","3.9755","4.2737","4.3806","4.4357","4.5621","4.6759","4.7946","4.8728","4.9734","5.3128","5.7508","5.8671","5.8791","5.9729","4.9952","5.6943","6.0502","",
"Caribbean small states","CSS","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","0.331","0.3309","0.2869","0.3792","0.361","0.4181","0.4384","0.448","0.4606","0.4339","0.5232","0.5374","0.5327","0.4893","0.4781","0.4827","0.5036","0.5293","0.5644","0.6268","0.9827","0.9518","0.921","0.951","1.1593","1.2392","1.3118","1.4351","1.5197","1.585","1.4593","1.4905","1.6252","1.5773","1.6258","1.6542","1.7772","1.9144","2.0438","2.0861","2.3001","1.9014","2.1209","2.1412","2.2644","2.2431","2.7095","2.5482","2.5838","3.0153","2.7332","3.1543","3.2003","",
"Cuba","CUB","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","4.1536","4.1536","4.0414","4.4141","4.3206","4.5755","4.5843","4.7734","5.0195","5.2942","5.3034","5.547","5.3013","5.3379","5.6632","5.4652","5.6266","5.5916","5.8617","5.6793","5.0742","3.7244","2.5966","1.9473","1.8939","1.9711","2.1989","2.7555","2.4874","2.3516","2.1685","2.2132","2.063","1.8908","1.9715","1.914","1.8279","1.847","1.818","1.413","1.2465","1.2172","1.0607","1.2369","1.3994","1.4969","1.4889","1.6331","1.6209","1.4663","1.5288","1.4743","1.5299","",
"Curacao","CUW","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","0.0018","0.002","0.0017","0.002","0.0025","0.0034","0.0039","0.0042","0.0046","0.0042","0.0062","0.0067","0.0076","0.0087","0.0101","0.0106","0.012","0.0137","0.0152","0.0165","0.0317","0.0323","0.0341","0.0328","0.0381","0.04","0.0395","0.041","0.0429","0.0445","0.0419","0.0419","0.044","0.0455","0.0419","0.045","0.0516","0.0639","0.0713","0.0737","0.0828","0.0619","0.0606","0.0717","0.0768","0.0783","0.0802","0.0862","0.0909","0.121","0.1021","0.0989","0.1031","",
"Cyprus","CYP","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","0.6008","0.6008","0.6623","0.7366","0.5419","0.4399","0.4711","0.5144","0.5732","0.5982","0.6206","0.6175","0.6517","0.7109","0.7639","0.7979","0.8446","0.9162","0.9596","1.0315","1.1661","1.162","1.3083","1.3278","1.3805","1.4661","1.5167","1.5829","1.6588","1.7023","1.7433","1.7989","1.7817","1.8868","1.9878","2.0264","2.0141","2.1471","2.1884","2.1893","2.2371","2.17","1.9981","1.7952","1.7503","1.8189","1.9318","2.0045","2.0165","2.0354","1.7695","1.9663","1.9688","",
"Czechia","CZE","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","5.4487","5.4487","5.7037","6.117","5.7564","6.4656","6.9328","7.289","7.1477","7.3149","6.409","7.2072","6.1018","6.2048","6.5671","6.4432","6.3635","6.4611","6.546","6.8666","6.9493","6.1746","7.9212","7.9648","8.543","7.2506","10.0773","10.386","10.6739","11.759","11.8706","12.7457","13.2896","15.1202","15.8469","17.1466","17.4537","18.4137","18.2618","17.6347","16.6022","16.4735","16.1436","16.004","16.513","17.3189","18.0045","18.5387","18.6711","18.8901","17.5908","19.501","19.5267","",
"Germany","DEU","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","94.1322","99.7504","103.7562","106.6795","102.277","105.9733","107.5139","113.4233","122.5916","126.2613","128.476","124.3763","124.6794","126.7565","130.4289","130.6132","136.5196","141.5678","146.5081","149.9672","158.6041","161.4766","164.0611","168.6721","166.0365","167.928","169.0547","169.8015","172.8069","177.6633","173.4704","169.5369","167.1233","164.0364","163.9894","155.6293","153.4831","148.3805","148.8937","147.0592","148.1233","149.9427","148.5133","152.367","154.573","157.5904","161.0244","163.4918","157.66","160.0386","142.3105","141.2446","144.3313","",
"Djibouti","DJI","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","0.0898","0.0898","0.0966","0.1064","0.108","0.1327","0.1693","0.2178","0.2339","0.2596","0.2759","0.235","0.2168","0.1724","0.146","0.1357","0.1376","0.1431","0.1768","0.399","0.4569","0.5808","0.5094","0.5037","0.5164","0.5324","0.5494","0.5538","0.5617","0.5921","0.3611","0.3555","0.3703","0.3925","0.3918","0.3803","0.37","0.3978","0.4464","0.398","0.433","0.3144","0.4011","0.4187","0.4077","0.3806","0.3429","0.2892","0.3035","0.2927","0.2966","0.3234","0.3319","",
"Dominica","DMA","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","0.0005","0.0005","0.0004","0.0005","0.0005","0.0007","0.0008","0.0008","0.0008","0.0007","0.001","0.0016","0.0017","0.0018","0.002","0.002","0.0017","0.0026","0.003","0.0032","0.0058","0.006","0.0062","0.0063","0.0084","0.0103","0.0102","0.0106","0.0111","0.0115","0.0092","0.0101","0.0093","0.0108","0.0122","0.0125","0.0141","0.0183","0.0178","0.0198","0.0233","0.0161","0.0169","0.0194","0.0218","0.0222","0.0233","0.0208","0.0248","0.0266","0.0224","0.0217","0.0226","",
"Denmark","DNK","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","7.282","7.4549","7.6805","8.0122","7.9113","8.6619","8.8692","9.074","9.3038","9.2988","8.98","8.7198","8.8036","8.7433","9.3002","10.7809","11.2279","11.0468","11.0526","11.357","10.1866","10.7487","10.8078","10.9743","11.3946","11.5985","11.723","11.8975","11.9272","11.9566","11.9312","12.0252","12.1754","12.6557","12.9527","13.1708","13.465","14.0223","13.8706","13.1382","12.9903","12.6437","11.5874","11.3805","11.4728","12.0009","12.1562","12.1424","12.3077","12.0384","11.0476","11.9171","12.3878","",
"Dominican Republic","DOM","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","1.4174","1.4174","1.4948","1.5698","1.6716","1.7456","1.8101","1.8427","1.7894","1.9294","1.7883","1.5089","1.4819","1.7448","1.967","1.9655","2.1004","2.6309","2.3019","3.0974","2.3113","2.2799","2.4548","2.6589","3.1522","3.5149","3.8893","4.4629","4.8831","5.195","5.3288","5.3435","5.7333","5.2576","5.4405","5.7621","5.8636","5.9526","5.4372","5.6386","5.7405","6.0461","6.5581","5.7898","5.0468","6.1304","6.6324","6.5117","7.165","7.6909","6.9783","6.7565","7.0302","",
"Algeria","DZA","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","2.661","2.661","2.6399","2.9807","3.2823","3.6534","4.1244","4.5409","5.1943","5.6681","6.2158","6.7851","7.0963","7.6044","8.1588","12.4098","12.5378","12.6655","12.7079","12.9295","15.8086","16.8803","16.8012","16.9609","15.5212","15.11","14.9641","15.0132","15.4611","16.4715","16.8469","17.0412","19.3579","21.7604","22.025","24.1619","25.6265","27.6012","29.1924","30.5164","31.7105","34.2189","38.6433","40.2637","43.5052","46.4091","45.1858","44.6934","45.4601","45.6034","40.4659","42.7198","45.9367","",
"East Asia & Pacific (excluding high income)","EAP","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","80.605","80.605","87.0705","93.5307","98.6256","108.0358","109.5869","118.4703","119.8854","127.1212","126.4736","127.9846","132.9454","140.0177","148.0434","153.8695","164.553","174.9746","188.3699","199.5203","196.6692","205.6993","222.5994","250.6789","252.5756","281.8109","340.4225","325.9981","312.7871","335.2457","434.7714","448.7141","479.5378","524.8529","596.411","620.6249","647.3577","693.0257","732.6498","761.2482","825.6856","901.238","989.9552","1065.6935","1103.3473","1165.4454","1191.2805","1245.0902","1334.6393","1335.7629","1246.1507","1286.8319","1270.8211","",
"Early-demographic dividend","EAR","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","221.4607","222.2816","235.0481","248.7645","262.9721","283.4316","297.0934","317.4779","340.8623","355.7239","369.9397","392.6235","396.0273","409.2652","425.2942","435.4112","438.8173","464.7333","478.7181","497.8327","529.5379","549.7526","565.5693","596.6991","624.477","644.6496","689.1215","703.7814","722.4558","744.3778","767.5974","779.6268","806.0504","827.9223","871.3717","912.5773","951.410099999999","1026.2095","1075.4045","1116.675","1155.0613","1217.7253","1296.793","1333.2395","1377.7838","1426.2089","1448.7481","1491.8586","1525.4728","1521.0808","1326.1268","1420.9475","1547.4989","",
"East Asia & Pacific","EAS","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","223.1044","231.9132","244.9939","267.6106","275.6636","292.7356","303.2535","325.7453","341.6324","362.145","361.8893","357.9951","360.6073","375.128","392.4546","402.645","424.6765","447.0103","476.6983","507.811","533.9543","559.1405","588.7496","631.2477","652.157","700.9328","771.1007","762.2002","739.9074","776.4975","881.2379","898.5906","930.0098","975.7221","1048.5089","1068.6832","1093.1683","1136.8087","1165.0562","1190.5532","1260.2856","1331.6797","1422.0843","1498.4193","1531.5886","1603.1855","1631.5553","1688.093","1775.4507","1777.528","1650.5734","1702.7716","1698.0753","",
"Europe & Central Asia (excluding high income)","ECA","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","60.932","61.753","66.6176","71.5807","76.3362","86.2063","90.6965","94.0494","95.054","94.9147","97.7024","98.4425","100.2117","100.9549","101.7519","103.5824","111.6383","116.8874","118.8087","121.1842","151.8361","160.0372","123.1822","115.2077","97.2954","104.7941","107.7876","108.0299","107.342","100.4538","107.5023","107.2375","112.8149","112.2356","117.4574","120.3385","128.6308","147.8231","149.6919","137.6421","141.163","145.8203","152.4149","159.486","160.3596","166.619","177.1919","182.1339","191.2904","192.9653","184.7647","195.6242","203.4513","",
"Europe & Central Asia","ECS","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","649.6344","671.0656","707.3412","748.9573","747.248","804.3637","834.6053","856.1981","887.5873","907.3533","910.1779","905.0166","913.9097","925.1168","946.0747","956.3839","1002.3942","1036.9013","1080.3414","1117.7985","1232.9992","1243.9617","1214.698","1167.399","1126.1523","1125.4226","1146.5556","1144.9956","1203.3648","1219.719","1216.867","1236.4534","1254.5072","1278.8718","1320.3276","1321.4673","1352.5572","1383.5363","1376.4454","1315.9707","1327.7982","1330.5697","1294.3045","1295.5792","1308.0481","1330.5143","1362.0821","1386.7637","1406.5444","1409.5854","1241.8615","1311.6609","1354.9917","",
"Ecuador","ECU","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","1.844","1.844","1.8287","2.0634","2.243","2.6572","2.9504","3.6015","4.1858","3.4574","3.9907","4.5772","4.729","4.8377","5.4218","5.7576","5.9415","5.7335","6.9283","6.7039","7.8258","8.0145","8.1337","8.1603","8.6764","8.2655","10.0684","10.6663","9.9784","9.047","7.9866","8.4817","8.8236","9.1504","9.4747","9.9057","10.2021","10.0032","9.9595","10.4831","12.6618","13.7021","14.1772","15.123","16.2568","16.9254","17.1022","18.1983","19.1607","19.457","15.8337","19.2417","20.8226","",
"Egypt, Arab Rep.","EGY","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","4.0004","4.0004","4.6072","4.4766","5.1247","4.6297","5.254","6.0072","6.2999","6.7644","8.2117","9.1007","9.0657","10.2512","11.4297","12.2444","12.269","12.8572","13.8953","14.9219","16.1499","16.9011","17.5664","18.2768","20.0233","21.2292","22.4784","24.0672","26.7205","28.3904","29.2499","28.1636","29.0183","30.644","31.3429","30.786","33.4622","37.0311","39.0531","41.7813","44.8427","46.765","50.9015","51.3997","53.5952","54.9791","57.3964","55.7127","56.1647","51.9606","51.5664","55.6222","66.4397","",
"Euro area","EMU","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","289.2353","306.8016","325.7764","348.3358","339.341","353.245","374.2358","387.5151","411.0654","429.3963","431.572","426.7351","429.2171","434.1089","444.4911","448.7148","469.7094","488.1428","517.5461","535.0956","558.8315","572.4141","587.1313","595.0837","597.3722","606.3775","619.7696","628.4495","654.3093","669.0407","672.5086","683.5164","690.513","697.9929","710.9414","705.4105","711.1261","713.1217","693.3365","668.588","663.0249","657.8452","630.6023","629.8287","633.9537","642.5021","653.7986","657.7108","654.385","658.5521","556.9958","588.4287","611.3666","",
"Eritrea","ERI","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","0.061","0.061","0.0584","0.0653","0.0669","0.0613","0.0634","0.0683","0.0797","0.081","0.0774","0.0826","0.0767","0.0773","0.0713","0.074","0.0908","0.1253","0.1311","0.1361","0.1328","0.1336","0.1149","0.2107","0.2875","0.3291","0.3836","0.361","0.2294","0.2101","0.2039","0.2485","0.2708","0.2742","0.2555","0.1823","0.1598","0.1373","0.1213","0.1181","0.1404","0.2365","0.2075","0.1947","0.1917","0.1917","0.1981","0.1934","0.215","0.2231","0.2175","0.2371","0.243","",
"Spain","ESP","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","23.3159","25.5158","27.1282","32.3955","35.1066","36.3155","39.8542","39.3293","41.5657","46.8499","45.124","42.5612","42.4272","42.8428","44.4761","43.9428","45.363","47.9279","56.9524","60.3473","63.2122","65.829","69.379","68.3886","70.7047","71.9552","76.8933","76.8335","84.2339","88.5019","90.4598","94.628","96.3992","101.3836","105.7353","109.5121","113.1306","116.1041","109.9032","101.3017","98.4192","91.9596","82.6255","81.6207","82.0616","85.1093","88.3012","91.1609","92.3117","93.6657","74.0312","81.1594","90.4723","",
